"Rank","","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","","Team","#","POS","S","ST","KRET","KCOV","PRET","PCOV","FGBLK","FGXP","ST GRD","KOFF GRD","PUNT GRD","FGXP","KEY","PEN","TKL","AST","MT"
"","","97754","","325533","","Jordan Waters","north-carolina-state-wolfpack","NC STATE","07","HB","2024","21","0","1","0","20","0","0","67.9","","","","3","0-0","2","0","1"
"","","97761","","339680","","Zaylin Wood","vanderbilt-commodores","VANDERBILT","D15","DI","2024","6","0","0","0","5","1","0","59.9","","","","0","0-0","0","0","0"
"","","97766","","340643","","Charlie Ham","georgia-bulldogs","GEORGIA","S95","K","2024","4","0","4","0","0","0","0","60","67.8","","","2","0-0","0","0","0"
"","","97773","","325578","","Jaren Mangham","minnesota-golden-gophers","MINNESOTA","08","HB","2024","4","4","0","0","0","0","0","56.8","","","","2","0-0","0","0","0"
"","","97792","","338888","","Torry Locklin","kansas-jayhawks","KANSAS","12","WR","2024","144","44","46","23","26","0","0","59.5","","","","7","0-0","2","0","2"
"","","97800","","328087","","Jadon Jackson","kansas-state-wildcats","KANSAS ST","00","WR","2024","2","0","0","0","0","0","0","","","","","0","0-0","0","0","0"
"","","97804","","330460","","Dequan Finn","baylor-bears","BAYLOR","07","QB","2024","1","0","0","0","0","0","0","","","","","0","0-0","0","0","0"
"","","97813","","340213","","Donavon Greene","wake-forest-demon-deacons","WAKE","11","WR","2024","1","1","0","0","0","0","0","60","60","","","0","0-0","0","0","0"
"","","97822","","326680","","Jack Martin","houston-cougars","HOUSTON","S41","K","2024","62","0","40","0","0","0","22","62.8","64.9","","76.8","28","0-0","0","0","0"
"","","97835","","330856","","Will McDonald","california-golden-bears","CAL","66","C","2024","6","0","0","0","0","0","0","","","","","0","0-0","0","0","0"
"","","97881","","330658","","Jamal Morris","houston-cougars","HOUSTON","D25","LB","2024","51","0","0","11","0","38","0","62.5","","","","0","0-0","0","0","0"
"","","97889","","327776","","Jack Kiser","notre-dame-fighting-irish","NOTRE DAME","D24","LB","2024","165","4","2","63","48","42","0","63","","","","4","1-0","2","0","0"
"","","97890","","349703","","David Spaulding","south-carolina-gamecocks","S CAROLINA","D29","CB","2024","12","0","2","2","1","6","0","61.5","","","","0","0-0","0","0","0"
"","","97930","","342299","","Justin Cody","wake-forest-demon-deacons","WAKE","D11","DI","2024","39","0","0","4","0","34","0","58.3","","","","0","0-0","0","0","0"
"","","97960","","325367","","Richard Kinley","louisville-cardinals","LOUISVILLE","D91","ED","2024","28","0","18","7","0","3","0","70","","","","2","0-0","0","1","0"
"","","97962","","348071","","Kevin Pointer","wake-forest-demon-deacons","WAKE","D91","DI","2024","40","0","1","7","0","30","0","58.8","","","","0","0-0","0","0","0"
"","","97983","","340233","","Luke Hosford","kansas-jayhawks","KANSAS","S60","LS","2024","97","0","0","0","33","0","60","69.1","","","","5","0-0","0","0","1"
"","","97994","","327841","","Graham Mertz","florida-gators","FLORIDA","15","QB","2024","1","0","0","0","0","0","0","","","","","0","0-0","0","0","0"
"","","97995","","325529","","Eli Pancol","duke-blue-devils","DUKE","04","WR","2024","11","5","1","0","0","0","0","60.5","","","","2","0-0","0","0","0"
